İ ,1,0
Ass burned ,1,0
SCARY AS HELL! :3 ,1,0
Good Game Boi!! ,1,0
"jank, dumb, ♥♥♥♥♥♥♥ stupid and broke and no good. I'll play it again tomorrow tho ",1,0
"One of the best game stories I have ever played. Not to mention the improvised multiplayer mode that is very popular.  This game is Rockstar's first complete game in the GTA series. It contains the most options you can take about your character (CJ) so far. You can eat, you can draw tattoos on your body, you can train at a gym, you can drive and tune cars, swim and A LOT more. This is the reason why GTA IV never surpassed GTA:SA. #update for badge ",1,0
I think the game is really good and it's fun you can always play it. ,1,0
game is really fun with franks big package but would be better with friends ,1,0
I recommend :) ,1,0
"good fun, great game. 10/10 ",1,0
"I played this game single-player, so if you are looking for a review of the co-op experience, I won't be able to discuss it here. Very solid experience, and had me glued to my seat! The many collectibles, challenge tombs, as well as rewards for earning higher scores and speed, really had me hooked. In a typical Lara Croft game, you're trying to stop bad guys and get an artifact. This game however is one of the few isometric viewpoint Tomb Raider games, and so the gameplay mechanics aren't what the typical games are like. The gameplay consists of two main components - environment traversal and combat. Environment traversal involves getting creative with various tools, such as a magical spear that can create platforms for Lara to climb to previously unreachable places. There are also explosives which can help with solving environmental puzzles, as well as challenge tombs (many of which need the player to get creative with platforming). Combat is twin-stick shooter style. Lara starts with basic weapons such as her trusty pistols, but eventually unlocks ridiculous stuff like chain gun and rocket launcher. Really makes the second half of a game even more of a blast! I really enjoyed the cadence between puzzles and combat - the two phases alternate between each other, e.g. before getting an important artifact, cue large amount of enemies. However, it's not guaranteed that they are mutually exclusive! Many of the collectibles involve precision platforming, while hordes of enemies are on you. Super fun! Overall I found this a very fun isometric, twin-stick shooter game, with good environmental puzzles and collectible design. Unlocking weapons and solving increasingly difficult challenge tombs and bigger and stronger enemy types (there's also a T-Rex in this game), kept me hooked! This game has been out for quite some time already, but there are still lots of people playing and active on the forums. So if you're looking for a fun single-player, local multiplayer co-op, or even online (might have to try harder to coordinate), this is a great game if you get it on sale! ",1,0
I'll write when I play enough ,1,0
"Best quality game ive played in my life , if you have a High-End pc , You should really buy this game ! ",1,0
"9/10! This game is awesome and has some quality puzzles in it. The story doesn't have anything to do with the first game but it's still a good game and worth playing 100%. The game is slightly longer than the first one but it's still very short. Doesn't take long to get all the achievements plus it doesn't get boring running it multiple times, you basically end up trying to speed run it. Excited to play the next one and see what kind of puzzles they have put in the game. ",1,0
:D ,1,0
Is cool to shoot ♥♥♥♥! ,1,0
Currently free to keep till 16th/June/2019 ,1,0
"A beautiful and short game from the same creators of journey, the only positive point for me is the gameplay, which I didn't like very much: v ",1,0
"Ash of Gods: Redemption. This is a fantastic game with a very cool storyline, great atmosphere, gorgeous soundtrack and beautiful art. I have not received such a shake from the combination of the plot and the accompanying music since the days of The Witcher. There are many choices and their consequences. You really empathize with all the heroes. Each one is painstakingly leading along his plot, checking each subsequent step, in the hope of getting a good ending (he did not spoil the walkthroughs). By the way, heroes can be lost here. They are quite mortal ... They can be executed, mutilated, or they can simply die of wounds. In general, not a game, but just fantastic! I discovered another incredible game where I did not expect at all. 10 out of 10. ",1,0
"Heh) You can complete the game in 30 minutes, BUT can you dial at least 50 frequencies?) The brain stupidly does not have time to think, especially when the correct colors go 5 times, and then they are sharply wrong)) I do not advise playing those who have problems with health (In principle, the author himself warns about this at the beginning of the game!) PS CIAN - P * DR: D ",1,0
"Tutorial: How to survive after the apocalypse with a team of cerebral palsy throwing cans at the spawn, simply killing you and agriya the witch: D ",1,0
crashes on first level plz help ,1,0
The game really deserves only a good review! ,1,0
"It´s a Masterpiece, the graphics is just insane. Didn´t have any problems with the game crashing to desktop (Windows 10 Pro, newest Nvidia drivers). Needed some tweaking with the graphics to get a stable 40-60 fps (1080Ti, i7 5820k) and could put most of the settings at high. ",1,0
"Serious Sam 3: A game in which hordes of monsters are (still) hordes, the terms action and shooter are still taken literally, opponents in case of doubt, or simply because we can, dismantled and dismantled with the bare hand, or, entirely after Artisan style, can be transformed into hand-sized portions using a sledgehammer. In short: a game with a pinch of Tooltime and Chuck Norris in which men are men 8D ",1,0
jl ,1,0
"Not a bad story. Immediately and to the point. As for a free game, I was very pleased with the simple achievements. In general, it is clear that there is a certain soul in the game. So it was nice to play, as I said, achievements gave an incentive. All together in a novelty, pulls on a C with a plus. If you need at least achievements, then it's worth reading. ",1,0
"A character generator for an as yet unreleased game. Creating Persians is interesting enough, but quickly gets boring. ",1,0
Was not satisfied ,1,0
"Hi! My name is Levi (not actually). This is a review (You Didn't know that did ya?) about ARK Survival Evolved. This game is a really cool game if you enjoy survival. You have to put a lot of effort in this game to get something out of it. So if you enjoy sitting and playing one game you might like this game (I say might becuase everyone likes different things). Oh, btw you can sneak into someone's base and drag their body to the sea and let megalodon's eat them ;] 10/10 Would tame dodo's just to kill them again. ",1,1
the best game ever ,1,0
"This game is friggin GOOD, I'd give a more productive review but I'm braindead at the time of posting LOL ",1,0
A very entertaining game in which you can spend hours and meet friends. ,1,0
"For my taste - very beautiful, bright, amazingly playing with perspective. The solution to the puzzle, its mechanics are always the same, but the conditions of the problem are very variable. And no one will explain exactly how to guess the next one. It will start simple, end very difficult. Everything is concentrated on the perception of the created world. Look for clues (clues to the solution) - in lighting, color, movement, sounds, symbols. A slight feeling that the player is a program that needs to be trained to solve a more complex problem. I've been playing myst for too long to be able to draw some kind of analogy with it, but the feeling from the process is remotely similar. Please do not play according to the guides, everything is possible, everything is decided, you just need to peer or listen. And also, the community contains many illustrations that will make you smile or shake your head understandingly when looking at them. And I will probably keep the scribbled notebook in the box that went through the whole game with me =) I will definitely return to witness, because I have not yet figured out the whole island. ",1,0
played for about an hour just to get shot at a party - 10/10 IGN ,1,0
"This time you will find it as you have never seen it before, good graphics, good gameplay (unbeatable) itself, many improvements. It is full of things, you can from improving your arsenal to playing optional missions after passing the story mode. - Graphics (to be from 2013) - Setting - Excellent story - Unbeatable Gameplay - Characters (like Roth, since the others are somewhat ... empty) - Puzzles (few but entertaining) - Soundtrack (weak but there it goes) - Somewhat lazy bosses, not even the ending is that ... difficult. - Characters (except Roth, as I already said) Simply a AAA worth trying. ",1,0
"Old but still good, remember the old moments! Always remember the old moments! ",1,0
"If you like killing massive enemies but not too bloody, this is the game you are seeking for. ",1,0
"Pros - Decent gameplay - Good graphics ( ͡° ͜ʖ ͡°) - Marie Rose & honoka <3 My Personal Rating, Story: 6/10  Gameplay: 10/10 Graphics: 10/10 Sound: 8/10 Voice Acting: 9/10 Japanese Music: 7/10 ",1,0
The only game where bugs are really a feature ,1,0
The complexity of this game is just amazing. It allows me to live out my fantasy of king breeder/conquerer all in one game. ,1,0
fucking ,1,0
"Could use more plot, but action packed overall ",1,0
"Pretty Fun Game and Can Easily Burn Alot of Hours into the Game, very good 10/10 ",1,0
"An extremely pleasant, short toy in which we are assigned the role of a giant kraken ""arbiter of destinies"". The life or death of people in various situations depends on our actions. As a result, we get 5 endings with philosophical overtones for large pixel graphics. ",1,0
"Only with friends and ""dosed"", otherwise you will get bored. ",1,0
Fun game !!! Great fun to play with friends. But you need to look at the system requirements! ,1,0
"This game is poisonous! In addition to the detailed graphics, you can also create a unique style for your rides as you like. With the support of workshops, the playability can be improved. It is very suitable for players who love to play simulation series. Another point is that the computer equipment should be as good as possible. After all, the layout of the scene requires good-looking tourists to be happy, etc., but there will be a lot of good-looking objects, so later when there are more tourists and more objects, it will be a bit pause of. ",1,0
"Got banned on youtube for posting a speedrun for this, but overall good game ",1,0
"Surprisingly a great top down shooter with probably the sexiest voxel art present on steam, supported by a very appreciable story. 8/10 For me ",1,0
"Help, I don't stop dying ",1,0
"After 6 generations of controversy, Capcom is finally returning to the survival horror category of Resident Evil, a very good game, and the screen details are in place! ",1,0
(Zu CLK 3 CLK) Zu (Zu М 3 Even ,1,0
TOP GAME! ,1,0
SERIOUSLY SAYING THE GAME IS A BAHESER PERFECT !!! AT THE END OF THE GAME I STARTED AND HAPPENED OR IT WILL BE A BEAUTIFUL GAME AND I AM STILL AFFECTED BY THE GAME. 100000000000000000/10 ,1,0
"Knowing personally how difficult making a solid game is, I have to say this game is virtually flawless and I cannot imagine the amount of time and resources it took to make this game.   The game is fun, and it easily teaches you what is required to survive......after a few deaths I have not died in a very long time.  The arc of the story and expansion feels just right, the graphics style are beautiful and balanced, meaning everything from the color choice to the scale, proportions and ratios make it easy to play and a very enjoyable experience.  I will be buying the next game in the series, if there is one. ",1,0
Nice game I recommend ,1,0
9/10 ,1,0
"My dota2 life in a nutshell : GET REKT Please, be gentle to the noobs like me. ",1,0
"The game is raw but not bad Many bugs, errors and especially donat. Still annoying after each update to delete the ""Document"" folder and download everything again. But in general, the game is cool, Fortnite on the minimum xD ",1,0
"This is definitely the game I and all other former COD4 Promod players have been waiting for for years. The bad reviews made me think a bit before buying the game. - In my opinion, however, these are thoroughly unfounded. The negative reviews consist mainly of complaints about the gameplay, such as ""jumping around the corner"" or ""jumpshots"" and minor gripes like the ""XP bug"". Regarding the XP bug, I would like to say that this is only due to visual reasons, and you still get the XP well written. - When the game is restarted, the updated level is also displayed. I can absolutely relate to the complaints from the gameplay. Just do some research before you buy a game. - There is talk on numerous websites and in Youtube reviews about how essential penalty jumping is. - This fastpaced movement in particular is one of the main factors that makes the game so much fun. The weapons are in! Unranked / bomb mode! Balanced since the latest changes to the heavy weapons and the gameplay is already running incredibly smoothly. Bugs that occurred immediately upon release, such as the midgame fatal error that led to a game crash, were fixed in a first patch. In my opinion, the game is already at a level where you can easily have hours of fun without early access bugs. It should be noted, however, that the player base mainly consists of CoD4 veterans, who sweep you off the map for the first twenty hours and maybe even longer, similar to Aimbot. - But once you have the most important spots on the maps and the movement out, you can keep up! Would give the game 10/10 points despite early access and can understand the negative reviews zero. ",1,1
AN ♥♥♥♥ Awesome Game ,1,0
"Press ""F"" to pay respects... ",1,0
GO GO GO ! ,1,0
g41y ,1,0
Rukrak ,1,0
Don't buy if you don't have friends and your computer isn't good ,1,1
Love this game! ,1,0
"Can be unzipped for unfair tactical advantages. Can't be used by Snake, though. ",1,0
(AND) ,1,0
Great game with a amazing story ,1,0
The game is close to reality ,1,0
"Do you like angry Russians? Do you like people calling you a ♥♥♥♥ and ♥♥♥♥ at the game? Do you like toxic people? If you answered yes to any or all of these questions, this game is perfect for you ;) ",1,0
"This game is a slick, powerful racer that's the result of a clear vision of intense, streamlined competition. It takes few risks yet scratches many itches, offering a compelling experience to fans on all sides of the racing spectrum. While some will question a few design decisions, the overall package delivers on many levels. Put simply, Grid 2 deserves your attention ",1,0
very lite gum vernike ,1,0
"Great and relaxing game! Soundtrack is amazing, have chill vibe to it making the game more relaxing to play! ",1,0
"A very touching story about a bird and a lonely boy. I advise all fans of indie quests, this game is worth it. ",1,0
"Spiritual successor of Chivalry: Medieval Warfare but better, would recommend if you're into skill based realistic medieval combat. ",1,0
I hate this game so much ,1,0
This is a die or die program. ,1,0
