# id:14-28-14-1 
-0.98,0.72,-1
0.78,0.35,-1
-0.23,-0.06,-1
0.71,0.87,1
0.89,-0.49,-1
-0.09,-0.43,1
0.47,0.74,1
0.28,-0.05,1
-0.33,-0.27,-1
-0.92,-0.21,1
0.74,0.21,1
0.07,0.73,1
-0.76,-0.88,1
-0.3,-0.26,-1
-0.53,0.94,1
-0.12,0.8,1
-0.48,-0.34,-1
0.45,-0.48,1
0.73,-0.47,1
-0.74,0.28,-1
0.4,-0.07,-1
0.68,-0.4,-1
-0.46,0.7,1
0.49,-0.04,-1
0.63,-0.01,1
0.51,-0.92,1
-0.38,-0.12,1
-0.84,0.79,1
-0.28,0.04,-1
0.65,0.93,-1
0.62,-0.57,1
0.4,-0.41,1
0.59,0.75,1
0.83,-0.64,-1
0.25,-0.64,1
-0.86,-0.29,1
0.76,-0.37,1
-0.44,0.79,-1
-0.78,0.2,1
0.8,-0.6,1
-0.85,-0.25,1
0.11,-0.2,-1
0.16,0.76,1
-0.53,-0.27,-1
0.37,0.42,1
0.2,0.23,1
-0.57,0.39,-1
0.79,0.69,1
-0.56,-0.93,1
-0.12,-0.65,-1
-0.9,0.67,-1
-0.61,0.51,1
-0.08,-0.55,-1
0.68,0.78,-1
0.16,-0.41,1
-0.73,0.96,1
-0.98,-0.19,1
0.17,-0.84,1
0.83,-0.72,-1
0.79,-0.34,1
0.11,0.66,1
0.44,-0.63,-1
-0.04,0.25,1
0.2,-0.55,1
0.26,-0.79,-1
-0.62,0.08,-1
0.37,0.55,1
-0.79,-0.59,1
-0.93,-0.3,1
0.07,0.03,-1
-0.72,0.67,1
-0.89,0.23,1
0.45,-0.15,1
0.93,0.51,1
0.06,-0.53,1
-0.11,-0.68,1
0.02,-0.27,-1
0.76,-0.41,-1
-0.74,0.41,-1
-0.37,-0.78,-1
0.07,0.57,1
0.08,0.96,-1
-0.57,-0.25,1
0.08,-0.98,-1
-0.25,-0.25,-1
0.35,-0.67,1
0.74,-0.95,-1
-0.72,0.75,1
0.32,-0.63,-1
-0.67,-0.35,1
0.41,0.96,-1
0.98,-0.64,1
0.12,-0.21,-1
0.12,0.77,1
0.83,-0.94,-1
0.81,0.68,1
-0.95,0.82,-1
-0.53,-0.95,1
-0.99,0.23,1
0.6,-0.04,1
0.76,0.94,1
0.7,0.27,1
0.33,-0.05,1
-0.37,0.08,1
-0.1,0.79,1
0.84,-0.79,1
0.45,0.63,1
-0.42,-0.46,-1
-0.53,-0.04,-1
-0.78,-0.06,1
0.89,0.33,-1
-0.59,-0.05,1
-0.27,-0.72,-1
-0.51,0.94,1
0.56,-0.75,-1
-0.21,-0.24,1
0.72,0.69,1
-0.38,0.15,-1
-0.53,-0.83,1
0.12,-0.76,1
-0.48,-0.13,1
-0.2,-0.17,-1
0.08,0.95,1
-0.29,-0.04,-1
-0.35,-0.41,1
0.74,0.85,-1
-0.98,-0.18,1
0.06,0.27,1
-0.86,0.4,1
-0.77,0.56,1
0.51,0.78,-1
-0.26,-0.67,1
-0.08,0,-1
-0.15,-0.55,1
0.27,0.95,-1
0.21,0,1
-0.61,-0.49,-1
-0.93,0.58,1
0.36,0.13,-1
0.46,-0.57,-1
0.44,-0.83,-1
-0.38,0.9,1
0.84,0.16,1
-0.85,-0.89,-1
-0.37,-0.31,1
-0.73,0.12,1
-0.75,-0.93,1
-0.49,0.25,1
0.42,0.14,-1
0.04,0.39,1
-0.46,-0.88,1
-0.76,-0.68,1
0.02,-0.57,1
0.55,0.86,1
0.94,-0.33,-1
0.92,0.62,1
-0.25,-0.37,1
-0.98,0.28,-1
0.41,-0.42,1
-0.09,-0.49,1
-0.06,-0.91,-1
0.96,-0.86,1
-0.18,0.81,1
0.43,-0.27,-1
0.37,0.43,1
-0.29,-0.37,-1
0.21,0.22,-1
0.74,-0.71,1
-0.61,0.28,-1
0.43,0.46,-1
0.27,-0.44,1
0.3,0.04,-1
-0.54,-0.16,1
0.47,-1,1
0.22,0.06,1
0.36,-0.14,1
-0.86,-0.21,1
-0.75,-0.67,1
-0.1,-0.22,-1
0.82,0.1,-1
0.95,-0.1,1
-0.1,-0.26,-1
0.8,-0.1,1
0.77,-0.3,1
0.5,0,1
0.34,0.3,-1
-0.92,0.5,1
-0.4,0.28,-1
-0.82,0.64,1
-0.63,-0.95,-1
-0.05,-0.71,1
-0.01,-0.78,-1
0.23,-0.89,-1
0.42,0.52,1
0.01,0.23,1
-0.49,0.58,1
0.22,-0.89,1
-0.84,0,1
0.29,0.07,-1
0.29,-0.53,-1
-0.41,0.01,-1
-0.48,0.89,1
0.11,-0.1,1
-0.53,0.3,1
0.41,-0.9,1
0.1,0.03,-1
-0.9,-0.48,1
0,0.44,1
-0.56,0,1
-0.12,0.1,1
1,0.64,-1
-0.06,0.94,-1
-0.96,0.44,1
-0.53,-0.39,-1
0.14,-0.81,-1
0.64,0.9,-1
-0.11,0.33,1
-0.57,0.53,-1
0.16,0.39,-1
0.33,0.06,1
-0.5,-0.64,1
-0.02,-0.97,-1
-0.77,0.54,1
0.43,0.99,-1
0.32,-0.03,1
-0.5,0.87,1
0.25,0.07,-1
-0.88,-0.8,-1
-0.44,-0.56,1
-0.52,0.15,1
-0.32,0.92,-1
0.9,-0.49,1
0.49,-0.48,1
-0.62,0.13,1
-0.8,0.41,-1
0.61,-0.85,-1
-0.4,-0.46,1
0.69,0.37,-1
0.29,-0.63,1
-0.11,-0.1,-1
0.43,0.37,1
-0.51,-0.99,1
0.42,0.67,1
0.83,0.97,-1
-0.5,-0.09,-1
-0.72,0.3,1
0.68,0.03,-1
0.94,0.16,1
-0.48,0.3,1
0.31,-0.37,1
-0.7,-0.27,-1
-0.31,-0.04,1
0.87,-0.95,-1
0.36,0.94,1
-0.03,-0.52,1
0.64,-0.47,-1
0.83,0.44,1
-0.94,-0.11,-1
0.62,0.63,-1
-0.41,0.04,-1
0.09,-0.1,-1
-0.17,-0.66,1
-0.17,0.08,-1
0.61,-0.04,1
-0.61,0.81,-1
-0.31,-0.55,-1
-0.92,0.32,1
-0.65,-0.86,1
0.04,0.74,1
-0.92,0.39,1
-0.54,-0.63,-1
0.34,-1,1
0.81,-0.92,-1
-0.46,0.03,-1
-0.66,0.45,1
0.59,-0.59,-1
-0.85,-0.96,-1
0.43,-0.83,1
-0.45,-0.47,1
-0.47,0.47,-1
0.56,0.84,-1
-0.14,0.66,1
0.1,-1,1
-0.59,-0.95,-1
-0.91,0.82,1
0.99,0.96,-1
-0.52,0.38,1
-0.15,-0.94,-1
0.9,-0.81,1
0.86,0.22,1
0.23,0.88,1
0.94,-0.05,-1
-0.24,0.01,1
-0.04,-0.03,1
-0.65,0.74,1
0.81,0.81,1
-1,-0.88,1
0.34,-0.57,-1
-0.69,-0.56,-1
0.39,-0.6,-1
0.42,0.84,-1
-0.19,-0.8,1
0.94,-0.74,1
-0.93,0.99,-1
-0.9,0.91,1
-0.67,-0.27,-1
0.18,-0.79,-1
-0.38,0.17,-1
0.01,0.63,1
0.83,-0.78,1
-0.51,0.36,-1
0.34,-0.06,1
-0.16,-0.44,1
0.29,-0.1,-1
0.12,-0.29,1
0.89,0.76,1
0.38,-0.81,1
-0.59,0.72,1
0.07,-0.54,-1
0.4,-0.91,-1
-0.35,-0.26,1
0.65,0.23,1
0.95,0.45,1
0.2,-0.72,-1
-0.53,0.46,1
0.17,-0.26,-1
0.21,0.25,-1
0.35,-0.49,1
0.26,-0.75,1
0.49,-0.65,1
0.81,-0.84,1
-0.56,1,1
0.45,0.37,-1
-0.89,0.6,1
-0.15,0.52,-1
-0.97,-0.23,1
0.03,-0.87,-1
-0.51,0.87,-1
-0.97,0.23,-1
0.23,-0.11,1
-0.74,0.21,-1
-0.2,-0.85,1
0.67,0.62,1
-0.61,-0.98,1
-0.84,0.2,-1
0.06,0.92,1
0.14,-0.75,-1
0.15,-0.03,1
-0.83,-0.67,1
-0.52,0.48,-1
